message_id,sender_id,message_text,channel
0f06547f-dc47-4c78-b7f2-85c7eec347bd,-1001102021238,"https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL",DoctorsET
cd19100c-85b4-4585-9b45-8f7ae125e0ee,-1001102021238,"ዶክተርስ ኢትዮጵያ በ አዲስ አቀራረብ በ ቴሌቪዥን ፕሮግራሙን ለመጀመር ከፋተኛ ዝግጅት በማድረግ ላይ ይገኛል ።

ዩሃንስ ግርማ ጆኒ ( በ ቲክቶክ ከ 500,000) በላይ ተከታይ ያገኘው ከ አሜሪካ ወደ ኢትዮጵያ 
ገንዳ ውስጥ ከመተኛት እስከ ከፋተኛ ተከፋይ በኢትዮጵያ ( 1 take production ) በመባል የሚታወቀው ዩሃንስ ግርማ ( ጆኒ) 

ከዲፕሬሽን እስከ ታዋቂነትን ያተረፈው ጆኒ 

አሁኑኑ ይመልከቱ 👇

https://youtu.be/gwVN5eJQpko?si=xARsSxIEdZtE91GY",DoctorsET
ac45648c-dd0a-4a67-a39f-01d812a2cd6b,-1001102021238,"ሞት በስኳር 

ለልጆቻችን የምናሲዘው ምሳቃ ሳናቀው እድሚያቸውን ይቀንሰው ይሆን 

የታሸገ ትክክለኛ ጁስ ኢትዮጵያ ውስጥ የለም...!

ሁሉም ወላጅ ሊያየው የሚገባ

የታሸጉ ጁሶች መጠጣት እራስን ለከፍተኛ ጉዳት እስከ ሞት ድረስ ማጋለጥ ነው !

ለሁሉም ኢኮኖሚ ጤናንም የሚጠብቅ አመጋገብ የቱ ነው??

https://youtu.be/oHiSRrNF7I0?si=Absgm414YSt_kjNq",DoctorsET
9986431b-48fc-473b-896e-fc54c3baf063,-1001102021238,"ከ HIV የተፈወሰ ሰው አጋጥሟችሁ ያቃል ? ፈውስ እና ህክምና ?

ሙሉ ቪዲዮውን ተመልክተው ሃሳብ አስተያየቶን ያካፍሉን 👇👇👇👇

https://youtu.be/tTeErZxIh_Q?si=jKHyfWcC3sfXbC8L",DoctorsET
84c91958-f637-41ec-af21-d7acae3de912,-1001102021238,"በቅርብ ጊዜ በሃገራችን ላይ እየተስተዋለ ያለ የተመሳሳይ ፆታ ( Homosexuality ) ግብረ ሰዶም በተለያዩ ቦታዎች ላይ እየታየ ይገኛል

ይህም አጥብቀን ምንቃወመው ጉዳይ ሲሆን 

- ይህ ችግር በህምና ይለያል ወይ ?
- ቅድመ ምልክት አለው ወይ ?

ወላጆች ልጆቻችሁን እንዴት መጠበቅ ትችላለቹ ህክምናስ አለው ወይ ??

በምንመገበው ምግብ ሊቀይሩየን ይችላሉ ወይ ? 

አሁኑኑ ገብተው ሙሉ ቪዲዮውን ይመልከቱ !

https://youtu.be/0k65P5ouw7s?si=qaUgo75bUa3AMQxD",DoctorsET
e6c9e4e5-0686-444b-af06-7fbb2ccffcc8,-1001102021238,"👇👇👇👇👇👇 https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc  
**
ዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረ**

ማረጥ  (**ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮች**

**ሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?**


**የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!
**

**ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስ **

ይህን የመሰለ ፕሮግራም ይዘን መተናል 


የጤና ጥያቄዎን ለመላክ @doctorsEt 


https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc",DoctorsET
8de6f3ed-2fdc-415c-96ea-6cc62b95360c,-1001102021238,"ክረምቱን ስፖርት መስራት አስበው ጂም ለመግባት ካልቻሉ ባሉበት ቦታ ሆነው

እነዚህን እንቅስቃሴዎች በማድረግ በ አጭር ግዜ ውስጥ ለውጥ ማምጣት ይችላሉ 

እቤትዎ ሆነው ጠዎት ወይንም ማታ ላይ በ 5 ደቃቃ ውስጥ ብቻ 

- የጎን ቦርጭ(ስብ) ለማጥፋት 
- ቀንዎን በንቃት ለመጀመር 

እነዚህን እንቅስቃሴዎች ያድርጉ 
ለሁሉም እድሜ ክልል የሚሆን እንቅስቃሴ ስለሆነ ከ ቤተሰቦ ጋር መስራት ይችላሉ !!

ሊንኩን በመጫን ይመልከቱ / ዶክተርስ ኢትዮጵያ 
👇👇👇👇👇
https://youtu.be/0uiTzjEbh90",DoctorsET
baa93318-c48a-4022-8532-8667656a6834,-1001102021238,"ስፖርት የመስራት ሱስ ይኖር ይሆን?

በአሁኑ ወቅት ብዙ የስፖርት መስሪያ ቦታዎች ተጨናንቀው ይታያል

ስፖርት መስራት ለጤና ጠቃሚ ቢሆንም እንዳንድ ግዜ ግን ከዛ በላይም አልፎ ስፖርት ካልሰራው ዲፕሬሽን ውስጥ ገባለው / ሰውነቴ ይበላሻል የሚሉ ሰዎችም አሉ!

ሱስ ማለት ራስን ለ ሆነ ነገር ተገዢ ማድረግ ነው! 

   ስለዚህ ስፖርት መስራት እውነት ሱስ ይሆን?

👇👇👇 ሙሉ ቪዲዮውን በ ዮቲውብ ይመልከቱ 

 ስፖርት ቤት (ጂም) ለሚያበዙ ሁሉ ሼር ያድርጉ!
👇👇👇
https://youtu.be/WPlRuRtQXN8",DoctorsET
83235ed9-c487-4f5f-b050-0b8d8b3644d6,-1001102021238,"ድንገተኛ አደጋ / የአጥንት ስብራት

አያርገውና ድንገተኛ የሆነ አደጋ ቢደርስቦ ምን ማድረግ እንዳለቦ ያቃሉ?

በሃገራችን የመኪና አደጋ በ ከፍተኛ ደረጃ አየጨመረ እና የብዙ ሰዎችን ሂወት እየቀጠፈም ይገኛል ።

በሃገራችን ያለውም ወቅታዊ ሁኔታም ጦርነቶች ብዙ ሰዎችን ለ ድንገተኛ የሆነ አደጋዎች : ስብራቶች ያጋልጣል።

ዶ/ር ቃልቂዳን (አጥንት ስፔሻሊስት ሃኪም) ስለ ድንገተኛ አደጋ እና ስብራቶች አብራርቶልናል

እርሶም ይህ ችግር ቢደርስቦ ማድረግ ያለቦትን ነገር ቀድመው ይወቁ 

**ዶክተርስ ኢትዮጵያ በ አዳዲስ ፕሮግራሞችና የናንተን ጥያቄዎች በሶሻል ሚዲያ መልስ የሚያገኙበትን መንገድ እያስተካከልን ሲሆን ከ ትንሽ የ እረፍት ግዜያት በኋላ በ ቴሌቪዥን ፕሮግማችን በ ፋና ቴሌቪዥን ያገኙናል**

ከታች ያለውን በመጫን ይመልከቱ!
👇👇👇👇👇👇👇
https://youtu.be/QI-8oqW80uI",DoctorsET
0061c18e-011c-4046-b546-e2e1d97a2c83,-1001102021238,"ከትንሽ ግዚያት በፊት ስፖርት መስራት እንደ ቅንጦት ይታይ ነበር አሁን ላይ ግን በ ስፖርት መስራያ ቦታዎች ላይ ብዙዎች ሲሰሩ ይታያል

ይህንንም ተከትሎ ስፖርት ማወቅ ያለብን በጣም አስፈላጊ ነገር አለ!

ብዙ ሰው አንድ አመት ያህል ሰርቻለው ለውጥ ምንም የለኝም ! ስፖርት ጥቅም የለውም ይላል

እኛ ምን መስራት እንዳለቦት ሚስጥሩን እንንገሮት!
  ከዚ በኋላ ጊዜዎን ሳያባክኑ በአጭር ግዜ ውስጥ 
ለውጦን ያያሉ።

በዚህ ዮቲውብ ቪዲዮ ላይ 

ምን መስራት እንዳለቦት ለ ጀማሪ እንዲሁም በመስራት ላይ ላላቹ 

አጭር ቪዲዮ ይመልከቱ
👇👇👇👇👇👇
https://youtu.be/_IEWt07bECg",DoctorsET
